zone_name,latitude,longitude,time_hour,is_festival_period,is_monsoon_heavy_rain,previous_incidents,crowd_level,weather_risk,tourist_density,zone_risk,risk_score,risk_label
Annamalaiyar Temple (Base),12.224063641443847,79.0679110591793,15,0,0,0,High,Low,Medium,Low,0.0,Low
Annamalaiyar Temple (Base),12.225808495847271,79.06952482407875,16,0,0,0,Low,Low,High,Low,3.9,Low
Annamalaiyar Temple (Base),12.22477342249357,79.0662018958868,21,0,0,1,High,Low,High,Low,2.2,Low
Annamalaiyar Temple (Base),12.226290501330576,79.06690419619333,12,0,0,0,Medium,Medium,High,Low,9.7,Low
Annamalaiyar Temple (Base),12.22601582057555,79.06829302329524,3,0,0,0,Low,High,Medium,Low,21.5,Low
Annamalaiyar Temple (Base),12.227821873292013,79.0685316554175,23,0,0,1,Low,Low,High,Low,16.9,Low
Annamalaiyar Temple (Base),12.227354266528224,79.06793023037639,15,0,0,0,Medium,High,Low,Low,22.3,Low
Annamalaiyar Temple (Base),12.227143266772197,79.06960534456417,8,0,0,0,Medium,Medium,Medium,Low,18.2,Low
Annamalaiyar Temple (Base),12.225903057997698,79.06898704382773,0,0,0,4,Medium,Low,High,Low,38.1,Medium
Annamalaiyar Temple (Base),12.226951197109466,79.06596629200642,9,0,0,1,Medium,Low,Medium,Low,13.2,Low
Annamalaiyar Temple (Base),12.226636633588283,79.06632989595528,23,0,1,1,Medium,Low,Low,Low,12.3,Low
Annamalaiyar Temple (Base),12.2262021721839,79.06789036442564,8,0,0,0,Low,Medium,Medium,Low,9.6,Low
Annamalaiyar Temple (Base),12.22467310122147,79.06845987585163,21,0,0,0,High,High,Low,Low,15.8,Low
Annamalaiyar Temple (Base),12.22544646659085,79.0660544891428,8,0,1,0,Low,Medium,Low,Low,10.4,Low
Annamalaiyar Temple (Base),12.225360271272857,79.0667716095763,12,0,0,0,Low,Low,Medium,Low,0.2,Low
Annamalaiyar Temple (Base),12.225108878330778,79.06628252971323,16,0,0,0,Medium,High,Low,Low,16.5,Low
Annamalaiyar Temple (Base),12.226039105973754,79.06855614867092,3,0,0,1,Low,Medium,Low,Low,24.8,Low
Annamalaiyar Temple (Base),12.224511745489618,79.06910797697458,0,0,0,1,High,High,Low,Low,20.4,Low
Annamalaiyar Temple (Base),12.225150319768481,79.06848947687372,17,0,0,1,High,Low,Medium,Low,6.7,Low
Annamalaiyar Temple (Base),12.224830781156385,79.06868510375132,23,0,1,0,Low,Low,Medium,Low,14.9,Low
Annamalaiyar Temple (Base),12.22577924945982,79.0662188452143,17,0,0,0,Low,Low,Medium,Low,3.5,Low
Annamalaiyar Temple (Base),12.225923701116127,79.06706011921506,13,0,0,1,Medium,Low,High,Low,18.8,Low
Annamalaiyar Temple (Base),12.227016212787934,79.0679705266298,15,0,0,1,High,Low,High,Low,3.2,Low
Annamalaiyar Temple (Base),12.226344924496464,79.06813117609902,5,0,0,0,Medium,Low,High,Low,13.2,Low
Annamalaiyar Temple (Base),12.225309174586062,79.06935595438755,16,0,0,1,High,Low,Low,Low,6.4,Low
Annamalaiyar Temple (Base),12.224810389791877,79.06951381410295,2,0,0,2,Medium,Low,Medium,Low,22.4,Low
Annamalaiyar Temple (Base),12.225104704146064,79.06917067881707,11,0,0,1,Low,Medium,High,Low,20.2,Low
Annamalaiyar Temple (Base),12.224859151404836,79.06885228829113,8,0,1,0,High,Low,Medium,Low,2.9,Low
Annamalaiyar Temple (Base),12.22733791487665,79.06927623354522,18,0,1,2,High,Low,Medium,Low,4.5,Low
Annamalaiyar Temple (Base),12.225605025668878,79.06683828437252,19,0,0,1,Low,Low,Medium,Low,18.1,Low
Annamalaiyar Temple (Base),12.224156132605902,79.06897192672935,16,0,0,1,Medium,Low,Low,Low,6.3,Low
