time_hour,previous_incidents,crowd_level,weather_risk,tourist_density,zone_risk,risk_score,risk_label
6,4,High,Low,Low,Medium,52.813191432305175,Medium
19,3,Low,Medium,Low,Medium,63.77525331535986,Medium
14,2,Medium,Low,Medium,Low,13.125559334876982,Low
10,3,Medium,Medium,Medium,Low,32.0569374847181,Medium
7,2,Low,High,Medium,Low,41.3702232092672,Medium
20,3,Low,Medium,Medium,High,91.29974112117779,High
6,1,Medium,Low,Medium,Medium,34.86348396603358,Medium
18,2,Low,Medium,Medium,Medium,51.67831044927968,Medium
22,2,Low,Low,Medium,High,87.52179906808477,High
10,2,Low,High,Low,High,71.93556454526902,High
10,2,High,Low,Low,Medium,25.25309618085238,Low
23,3,High,Medium,High,Medium,65.95928381721325,Medium
20,5,Medium,Low,Medium,High,76.70165772005731,High
3,1,High,Low,Medium,High,62.76837472738213,Medium
7,5,Medium,Low,Medium,Medium,50.01703889783715,Medium
23,3,Medium,High,Low,Medium,82.8910264049294,High
2,3,High,High,High,Medium,76.00527310561371,High
21,2,Medium,Low,Low,Low,24.20052715462971,Low
20,4,Low,Low,High,High,99.49879869199539,High
1,3,High,Low,Low,Medium,57.9815349337071,Medium
23,4,High,Low,Medium,Low,42.191187158280286,Medium
11,1,Low,Medium,Low,Low,26.9877383823166,Low
5,4,High,Low,High,High,73.7584462321104,High
1,0,Low,Medium,High,Medium,61.19283436965401,Medium
20,1,Low,Medium,Low,Low,34.194053628513174,Medium
0,6,Medium,Medium,Low,Low,55.85222825646597,Medium
11,1,Low,Medium,Low,Medium,40.761974768010944,Medium
21,3,Medium,Low,High,Low,28.270252073743755,Low
11,2,Low,Low,Low,Low,17.270195589728157,Low
16,4,Low,Medium,Medium,Medium,52.701375227630606,Medium
9,2,Medium,Low,Low,Medium,28.971209182857063,Low
15,2,Medium,Low,Medium,High,43.96772269598365,Medium
14,2,Low,High,Medium,Low,44.383236493773055,Medium
14,1,High,Medium,Medium,Low,1.9882776752005409,Low
18,0,Medium,Low,High,Low,3.3123066991424013,Low
11,4,Low,Medium,Low,Low,46.7390508873054,Medium
22,5,Low,Low,Medium,Low,62.099906394305634,Medium
19,1,High,High,Medium,Medium,54.135690129712415,Medium
2,7,Medium,Low,Medium,Low,58.086592608794966,Medium
4,2,Low,Medium,Low,High,79.97932956412949,High
18,2,Low,Medium,High,Low,33.36159762374342,Medium
6,2,Medium,Low,High,Medium,48.28582363973359,Medium
20,2,Low,Medium,High,High,93.1687271411981,High
8,3,Medium,High,High,Low,58.30676349388636,Medium
6,2,High,Medium,Medium,Low,22.98839859909409,Low
17,1,Low,Low,Low,Medium,35.03617304200061,Medium
3,0,High,Medium,Low,Medium,52.99989731914597,Medium
13,0,High,High,Medium,Medium,22.52858567099739,Low
17,1,High,Low,Low,Low,0.0,Low
8,4,High,Medium,Low,Medium,43.743974303443906,Medium
20,4,High,Low,High,Medium,54.245262248914635,Medium
1,4,Medium,Low,High,Low,48.6931733656691,Medium
19,2,Medium,Low,High,High,66.4866768758786,Medium
14,3,Medium,High,Low,Medium,51.60737563995774,Medium
6,1,High,Medium,High,Medium,49.648239755875764,Medium
11,3,Low,Low,Low,High,61.19994941000279,Medium
7,4,Low,High,Medium,Medium,72.16521047010754,High
14,1,Low,Medium,Medium,Low,28.173580449297663,Low
2,1,High,Medium,Medium,Medium,60.25230378546574,Medium
13,2,High,Low,High,Medium,22.03762564724628,Low
16,2,Medium,High,Low,Medium,36.410961495060604,Medium
3,1,Low,Medium,Medium,High,89.57988738170462,High
17,4,Medium,Medium,Low,Low,30.30256731142605,Medium
7,1,Low,Low,High,Low,18.554829524940804,Low
3,2,Medium,Low,Medium,Medium,61.06682647863788,Medium
1,3,Low,Low,Medium,Medium,76.05256986983098,High
5,2,High,High,Medium,Low,27.064830127716515,Low
21,1,Medium,Low,Medium,High,56.09264794218319,Medium
9,2,Medium,Medium,Medium,Low,20.21422801051787,Low
3,1,Medium,Low,Low,Low,33.94362594362015,Medium
21,4,Medium,Low,Medium,High,69.52954618339298,Medium
17,3,Low,Low,High,Low,39.68390627243447,Medium
11,0,Medium,Medium,High,High,45.93420938343461,Medium
1,3,High,Medium,Low,Low,38.51626046615011,Medium
9,2,Medium,High,Low,Low,18.342186367129678,Low
3,2,Medium,High,Medium,Medium,63.92073916627662,Medium
13,0,High,Low,High,High,26.320302304446543,Low
15,2,High,Medium,Low,Low,17.630295825065385,Low
14,2,Medium,Low,Medium,Low,21.76122950618081,Low
7,2,Medium,High,High,Medium,49.13231221726313,Medium
13,3,High,Low,Medium,Low,11.62265361909027,Low
22,2,High,Medium,Low,High,70.1829328857132,High
7,1,High,Low,High,Low,0.0,Low
20,1,Medium,Low,Medium,High,55.715657139628554,Medium
15,0,Low,Low,Medium,Low,13.570948571210177,Low
12,2,Low,Low,Medium,Medium,41.44231084541578,Medium
17,0,Low,Low,Medium,Medium,25.780227814358632,Low
14,1,High,Medium,Medium,Low,9.256827707794278,Low
20,1,High,Medium,Medium,High,45.1037045005247,Medium
23,0,Medium,Low,Low,Low,30.207155189162297,Medium
12,3,Medium,Low,Medium,Low,14.438105002975885,Low
8,2,Low,Low,Low,Low,17.675021383540162,Low
14,2,Medium,High,Low,High,52.31297237225085,Medium
12,1,Medium,Low,Medium,Low,14.997032414722987,Low
0,3,Medium,Medium,High,Medium,70.49410472192206,High
6,3,Low,Low,Low,Medium,60.780435681691294,Medium
8,2,Medium,Low,Low,Low,15.49758304404952,Low
23,1,Low,Low,Medium,Low,39.334074989226934,Medium
0,4,High,Low,Medium,Low,47.39310840250116,Medium
11,3,Low,Low,Medium,Low,21.820560439455424,Low
7,2,High,Low,Low,Low,9.396993917478506,Low
23,5,Low,Low,Low,Medium,76.06758696835662,High
10,1,Low,Medium,High,High,55.66306756211142,Medium
18,0,Medium,Low,Medium,Low,2.3574306407825683,Low
16,1,High,Low,High,Medium,21.215685485641032,Low
7,4,Medium,Low,Medium,Low,29.69594673493957,Low
2,1,Low,High,Medium,Medium,87.39951756128558,High
2,0,Low,Medium,High,High,88.93520373827639,High
0,2,Medium,Medium,Low,Low,37.83775696911852,Medium
4,1,Low,Low,Medium,Medium,69.21153089631667,Medium
9,3,Low,Low,Low,Medium,43.28078884770161,Medium
6,4,Medium,Low,Medium,Medium,39.74112386357216,Medium
8,2,Low,Low,Low,Low,20.636926836091742,Low
6,2,Low,Medium,Low,Low,32.651691657349,Medium
8,3,Low,High,High,Low,49.3715276110901,Medium
7,1,High,High,Medium,Low,32.45149923063761,Medium
11,1,Low,Low,High,Medium,31.137172550140257,Medium
1,4,High,Low,Medium,Low,39.96068380798171,Medium
0,1,Low,Low,Medium,High,74.40952651578091,High
15,1,High,Low,Low,Low,0.0,Low
22,1,Low,High,Medium,Low,59.466507156838176,Medium
22,3,Medium,Low,Medium,Medium,62.65219188404456,Medium
23,3,High,High,Low,Low,45.116090644640806,Medium
4,3,High,Medium,High,Medium,70.37024583390154,High
2,1,High,Low,Low,Low,21.433030444079524,Low
11,0,High,Low,Medium,Low,5.432995094958229,Low
7,1,Low,Medium,Medium,Low,22.758679409458885,Low
